Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C14, C3, C4, C7, C8, C9",0805,10,100nF,
C2,0805,1,1uF 10V,
"C5, C6",1206,2,47uF,C96123
"D1, D2, D3, D4, D5, D6, D7, D8, D9",0603,9,LED,
FOX1,Fox_avatar_18mm,1,SYM_Flash_Large,DNF
"H3, H4, H5, H6",MountingHole_3.2mm_M3_Pad_TopBottom,4,MountingHole_Pad,DNF
J1,PinSocket_2x32_P2.54mm_Vertical,1,Conn_02x32_Odd_Even,DNF
J2,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,DNF
J3,PinHeader_2x08_P2.54mm_Horizontal,1,Conn_02x08_Odd_Even,
J5,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"R1, R10, R15, R16, R17, R2, R3, R9",0603,8,10K,
"R11, R12, R13, R14, R18, R4, R5, R6, R7, R8",0603,10,2K2,
RN1,R_Array_SIP9,1,10K SIL,
TP1,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,TestPoint,
"U1, U4",DIP-20_W7.62mm_Socket,2,74HC245,
U11,DIP-28_W15.24mm,1,IMSC011,
"U2, U5",DIP-20_W7.62mm_Socket,2,74LS244_Split,
U3,PLCC-44_THT-Socket,1,ATF1502AS,
Y1,Oscillator_DIP-8,1,CXO_DIP8,
