Designator,Mid X,Mid Y,Rotation,Layer
C1,111.74,-122.49,180.0,top
C10,171.7,-59.9,90.0,top
C11,119.91,-93.24,270.0,top
C12,123.99,-74.65,0.0,bottom
C14,154.35,-91.6,0.0,top
C2,153.45,-94.7,270.0,top
C3,148.24,-69.55,180.0,bottom
C4,119.61,-63.04,270.0,top
C5,184.2,-125.4,0.0,top
C6,183.2,-56.9,0.0,top
C7,183.7,-122.9,0.0,top
C8,182.65,-59.1,0.0,top
C9,168.0,-100.8,180.0,top
D1,95.8125,-72.3,0.0,top
D2,95.8125,-102.5,0.0,top
D3,95.8125,-107.4,0.0,top
D4,95.8125,-97.4,0.0,top
D5,95.8125,-119.4,0.0,top
D6,95.8125,-115.1,0.0,top
D7,95.8125,-77.3,0.0,top
D8,95.795,-82.3,0.0,top
D9,95.8125,-62.7,0.0,top
J1,177.165,-91.44,180.0,top
J2,182.245,-86.36,180.0,top
J3,140.6652,-134.4676,270.0,top
J5,135.86,-52.08,90.0,top
JP1,105.41,-52.705,0.0,top
R1,120.2,-69.7,180.0,top
R10,121.1,-99.9,0.0,top
R11,95.7925,-99.2,0.0,top
R12,95.7925,-116.9,0.0,top
R13,95.775,-84.3,0.0,top
R14,95.8125,-64.5,0.0,top
R15,105.81,-104.89,180.0,top
R16,105.8,-110.1,180.0,top
R17,121.11,-115.01,0.0,top
R18,95.7925,-79.3,0.0,top
R2,120.3,-79.9,0.0,top
R3,121.1,-110.0,0.0,top
R4,95.7925,-74.1,0.0,top
R5,105.81,-74.79,180.0,top
R6,95.7925,-104.2,0.0,top
R7,95.7925,-109.2,0.0,top
R8,95.7925,-121.5,0.0,top
R9,105.7,-79.9,0.0,top
RN1,156.8,-70.96,270.0,top
TP1,121.4,-51.8,0.0,top
U1,165.1,-72.3,0.0,top
U11,142.95,-109.6,0.0,top
U2,113.0,-73.5,0.0,top
U3,136.15,-73.4,180.0,top
U4,165.09,-115.61,0.0,top
U5,113.21,-103.69,0.0,top
Y1,120.79,-126.29,0.0,top
